,ID,Number,Address,Latitude,Longitude,DistritoId,DistritoName,BarrioId,BarrioName,CardinalId,CardinalName,RegionId,RegionName
0,1,1a,Puerta del Sol nº 1,40.4168961,-3.7024255,1,Centro,6,Sol,0,O,4,O
1,2,1b,Puerta del Sol nº 1,40.4170009,-3.7024207000000002,1,Centro,6,Sol,0,O,4,O
2,3,2,Calle Miguel Moya nº 1,40.4205886,-3.7058415,1,Centro,6,Sol,0,O,0,O
3,4,3,Plaza del Conde Suchil nº 2-4,40.4302937,-3.7069171,1,Centro,5,Universidad,0,O,0,O
4,5,4,Calle Manuela Malasaña nº 5,40.4285524,-3.7025875,1,Centro,5,Universidad,0,O,0,O
5,6,5,Calle Fuencarral nº 108,40.428528,-3.7020599,1,Centro,5,Universidad,0,O,0,O
6,7,6,Calle Hortaleza nº 63,40.424147999999995,-3.6984470000000003,1,Centro,4,Justicia,0,O,4,O
7,8,7,Calle Hortaleza nº 75,40.4251906,-3.6977714999999995,1,Centro,4,Justicia,0,O,4,O
8,9,8,Plaza de Alonso Martínez nº 5,40.427868200000006,-3.6954403,1,Centro,4,Justicia,0,O,4,O
9,10,9,Plaza de San Miguel nº 9,40.4156057,-3.7095084000000003,1,Centro,1,Palacio,0,O,0,O
10,11,10,Calle Marqués de la Ensenada nº 16,40.4250863,-3.6918807,1,Centro,4,Justicia,2,E,4,E
11,12,11,Calle San Andrés nº 18,40.42694829999999,-3.7035918,1,Centro,5,Universidad,0,O,0,O
12,13,12,Calle San Bernardo nº 85,40.42842460000001,-3.7061931000000006,1,Centro,5,Universidad,0,O,0,O
13,14,13,Calle Conde Duque nº 22,40.4273264,-3.7104417,1,Centro,5,Universidad,0,O,0,O
14,15,14,Calle Ventura Rodríguez nº 2,40.426095700000005,-3.713479,9,Moncloa-Aravaca,53,Argüelles,0,O,0,O
15,16,15,Calle San Vicente Ferrer nº 64,40.426164899999996,-3.7073763999999994,1,Centro,5,Universidad,0,O,0,O
16,17,16,Calle San Bernardo nº 22,40.4230721,-3.7075065,1,Centro,1,Palacio,0,O,0,O
17,18,17,Plaza de Carlos Cambronero nº 2,40.4232649,-3.7038312000000007,1,Centro,5,Universidad,0,O,0,O
18,19,18,Plaza de Pedro Zerolo,40.4207773,-3.6996502,1,Centro,6,Sol,0,O,4,O
19,20,19,Calle Prim nº 2,40.42186160000001,-3.6954983,1,Centro,4,Justicia,0,O,4,O
20,21,20a,Calle Alcalá nº 49,40.4192342,-3.6954615,1,Centro,3,Cortes,0,O,4,O
21,23,21a,Calle Montera nº 48,40.4197872,-3.7014814,1,Centro,6,Sol,0,O,4,O
22,24,21b,Calle Montera nº 47,40.419720399999996,-3.7015235,1,Centro,6,Sol,0,O,4,O
23,25,22,Calle Jacometrezo nº 3,40.4200783,-3.7065376000000003,1,Centro,6,Sol,0,O,0,O
24,26,23,Plaza de Santo Domingo nº 1,40.4197429,-3.7080733,1,Centro,1,Palacio,0,O,0,O
25,27,24,Calle Carlos III nº 1,40.417908000000004,-3.710692,1,Centro,1,Palacio,0,O,0,O
26,28,25a,Plaza de Celenque nº 1,40.4173114,-3.7064809000000003,1,Centro,6,Sol,0,O,0,O
27,29,25b,Plaza de Celenque nº 1,40.417278100000004,-3.7063837,1,Centro,6,Sol,0,O,0,O
28,30,26,Plaza de las Salesas 7,40.423854999999996,-3.694475,1,Centro,4,Justicia,0,O,4,O
29,31,27,Calle Jesús nº 1,40.4132798,-3.6956178,1,Centro,3,Cortes,3,S,4,S
